X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 141,0.61601,0.02122271,0.039240003,0.61601,4.807355,0.77122456
variable 1,variable 106,0.59897,0.035986543,0.08996999,0.59897,5.169925,0.7503222
variable 1,variable 62,0.58938,0.08700889,0.056549966,0.58938,5.169925,0.7087814
variable 1,variable 105,0.49884,0.11841142,0.03572002,0.49884,5.169925,0.6167889
variable 1,variable 74,0.49518,0.23178652,0.03752002,0.49518,5.169925,-0.51321876
variable 1,variable 118,0.46168,-0.053892016,0.08067003,0.46168,5.169925,0.71803343
variable 1,variable 137,0.46092,0.44238678,0.045069993,0.46092,5.169925,0.13613684
variable 1,variable 60,0.46071,0.21826324,0.031260014,0.46071,5.169925,0.4923888
variable 1,variable 92,0.45914,-0.13619244,0.0,-3.4028235E38,2.0,0.7715779
variable 1,variable 102,0.45914,-0.49129957,0.0,-3.4028235E38,2.0,0.9749049
variable 1,variable 107,0.45914,0.37308002,0.0,-3.4028235E38,2.0,-0.29335982
variable 1,variable 108,0.45914,0.101982355,0.0,-3.4028235E38,2.0,-0.5976267
variable 1,variable 110,0.45914,0.2751769,0.0,-3.4028235E38,2.0,-0.42890918
variable 1,variable 114,0.45914,-0.13809133,0.0,-3.4028235E38,2.0,0.7728074
variable 1,variable 116,0.45914,-0.11975372,0.0,-3.4028235E38,2.0,0.76085067
variable 1,variable 120,0.44784,-0.023081511,0.08179,0.44784,5.169925,0.6862372
variable 1,variable 70,0.44658,0.018825173,0.14152,0.44658,5.169925,0.65402967
variable 1,variable 77,0.44224,0.2689248,0.031090021,0.44224,5.169925,-0.4163114
variable 1,variable 119,0.43276,0.36744076,0.05195999,0.43276,5.169925,-0.2555763
variable 1,variable 64,0.42854,0.19414599,0.02531001,0.42854,5.169925,-0.48414254
variable 1,variable 84,0.42759,0.13387266,0.031369984,0.42759,5.169925,0.54195696
variable 1,variable 78,0.42548,0.1911486,0.032649994,0.42548,5.169925,-0.4840779
variable 1,variable 59,0.41064,0.2504692,0.060389996,0.41064,5.169925,-0.40021345
variable 1,variable 54,0.4065,-0.034296542,0.07582,0.4065,5.169925,0.6639251
variable 1,variable 135,0.39843,0.3878743,0.24590999,0.38814,5.087463,-0.10274092
variable 1,variable 52,0.39816,3.3947825E-4,0.089240015,0.39816,5.169925,0.63073015
variable 1,variable 67,0.37793,-0.0593915,0.105529994,0.37793,4.9068904,0.66130286
variable 1,variable 124,0.377,0.3748554,0.16088,0.19087,2.5849626,0.04630995
variable 1,variable 69,0.36984,0.26870835,0.06019999,0.36984,5.169925,-0.318012
variable 1,variable 57,0.36518,0.115757465,0.024470001,0.36518,5.169925,0.4994222
variable 1,variable 83,0.36262,0.2879837,0.07685001,0.36262,5.169925,0.2731965
variable 1,variable 136,0.35564,0.278832,0.08522999,0.34444,5.087463,-0.27714255
variable 1,variable 80,0.34383,0.20045073,0.019580007,0.34383,5.169925,-0.37865454
variable 1,variable 134,0.33765,0.24566823,0.08888,0.33765,5.169925,0.30328497
variable 1,variable 75,0.33657,0.19730933,0.054260015,0.33657,5.169925,-0.37317646
variable 1,variable 72,0.32751,0.22255103,0.03872001,0.32751,5.169925,-0.32397372
variable 1,variable 25,0.31627,0.22903419,0.10925999,0.30825,5.169925,-0.29535708
variable 1,variable 111,0.31127,0.08535828,0.0,-3.4028235E38,2.0,0.4753017
variable 1,variable 117,0.30769,0.13143012,0.06884001,0.30769,5.169925,-0.41983315
variable 1,variable 76,0.29881,0.15443653,0.036479995,0.29881,5.169925,-0.3799651
variable 1,variable 23,0.2954,0.22213688,0.03784001,0.28755,5.169925,-0.27067158
variable 1,variable 85,0.2772,0.2770045,0.09983002,0.2772,3.807355,0.013982286
variable 1,variable 89,0.2772,0.27612102,0.20562002,0.2772,3.807355,-0.03284825
