X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 32,0.20869,0.016850889,0.040919997,0.20869,5.169925,0.43799442
variable 1,variable 18,0.20756,0.19147936,0.016680002,0.19667,5.0,-0.1268095
variable 1,variable 33,0.20667,0.044995055,0.0154,0.20667,5.169925,0.40208822
variable 1,variable 41,0.20641,0.15053077,0.07052,0.20641,5.169925,-0.2363879
variable 1,variable 58,0.20483,0.1546917,0.12599,0.20483,5.169925,-0.22391585
variable 1,variable 132,0.20332,0.19789925,0.02189,0.20332,4.5849624,0.07362566
variable 1,variable 68,0.2033,0.17972152,0.14131,0.2033,5.169925,-0.15355286
variable 1,variable 17,0.20262,0.18250969,0.02877,0.19294,5.0,-0.14181085
variable 1,variable 130,0.20222,0.19548188,0.062879995,0.20222,4.5849624,0.082086034
variable 1,variable 39,0.20139,0.17192632,0.0703,0.20139,5.169925,0.17164987
variable 1,variable 94,0.20028,0.19570196,0.07123999,0.20028,3.807355,0.06766123
variable 1,variable 100,0.20028,0.17046869,0.07123999,0.20028,3.807355,0.1726595
variable 1,variable 63,0.19995,0.12203359,0.108009994,0.19995,5.169925,-0.2791351
variable 1,variable 44,0.1993,0.19079186,0.023420006,0.1993,5.169925,-0.092239626
variable 1,variable 40,0.19443,0.18405648,0.030069992,0.19443,5.0,-0.101850495
variable 1,variable 36,0.19369,0.07459483,0.012740001,0.19369,5.169925,0.34510168
variable 1,variable 42,0.19259,0.18967879,0.028640002,0.19259,5.0,0.053955656
variable 1,variable 11,0.19221,0.14298831,0.026940003,0.19221,5.087463,0.22185963
variable 1,variable 61,0.19217,0.17893003,0.01747001,0.19217,5.169925,-0.11506505
variable 1,variable 95,0.19192,0.19076337,0.18049,0.19192,4.807355,-0.034009244
variable 1,variable 14,0.1916,0.18682532,0.04957,0.1916,4.0,-0.06909899
variable 1,variable 30,0.19069,0.1878769,0.04795,0.19069,5.169925,0.053038612
variable 1,variable 31,0.1901,0.17528118,0.044389993,0.1901,5.169925,0.12173254
variable 1,variable 127,0.18557,0.18476492,0.038860008,0.18557,4.5849624,-0.028373886
variable 1,variable 5,0.18521,0.18520708,0.028799996,0.18521,5.087463,0.0017077875
variable 1,variable 37,0.18324,0.08060513,0.01461,0.18324,5.169925,0.32036677
variable 1,variable 10,0.18126,0.16004689,0.026250005,0.18126,4.9068904,-0.14564723
variable 1,variable 133,0.17957,0.17254025,0.013700008,0.17957,4.5849624,0.083843604
variable 1,variable 27,0.17704,0.1759822,0.029580005,0.17704,5.169925,0.03252373
variable 1,variable 9,0.1746,0.17459996,0.02759,0.1746,5.087463,-2.0146181E-4
variable 1,variable 71,0.17359,0.17250642,0.01698,0.17359,5.169925,0.032917913
variable 1,variable 29,0.17263,0.15540527,0.026649997,0.17263,5.169925,-0.131243
variable 1,variable 86,0.17158,0.17066519,0.14840001,0.17158,4.807355,-0.03024587
variable 1,variable 128,0.17123,0.17034315,0.029169999,0.17123,4.5849624,0.029780164
variable 1,variable 35,0.16838,0.08273219,0.03151,0.16838,5.169925,0.29265648
variable 1,variable 2,0.16811,0.14781243,0.009479992,0.16811,5.087463,-0.14246953
variable 1,variable 125,0.16809,0.115654685,0.043509997,0.16809,4.5849624,-0.22898759
variable 1,variable 126,0.16695,0.13998511,0.06609,0.16695,4.5849624,-0.16420987
variable 1,variable 129,0.16604,0.16340184,0.040530004,0.16604,4.5849624,0.05136301
variable 1,variable 7,0.16195,0.15131815,0.057370007,0.16195,5.087463,0.103110895
variable 1,variable 28,0.16032,0.1418937,0.011530001,0.16032,5.169925,-0.13574353
variable 1,variable 34,0.15857,0.049995385,0.02784,0.15857,5.169925,0.32950664
variable 1,variable 109,0.09328,-0.16223772,0.0,-3.4028235E38,2.0,0.5054876
variable 1,variable 103,0.03428,0.034244556,0.02787,0.03428,2.5849626,-0.0059534633
