X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 64,0.37895,0.16942106,0.05186002,0.37895,5.169925,-0.45774332
variable 1,variable 105,0.3684,0.19107671,0.04910001,0.3684,5.169925,0.42109773
variable 1,variable 72,0.36763,0.23950748,0.017310008,0.36763,5.169925,-0.35794207
variable 1,variable 62,0.35696,0.17707124,0.023720011,0.35696,5.169925,0.42413294
variable 1,variable 84,0.33824,0.21083452,0.061169997,0.33824,5.169925,0.35693905
variable 1,variable 74,0.33816,0.17669708,0.03248,0.33816,5.169925,-0.4018245
variable 1,variable 67,0.33423,0.1023348,0.056270003,0.33423,5.169925,0.48155499
variable 1,variable 118,0.32422,0.03855127,0.049769998,0.32422,5.169925,0.53447986
variable 1,variable 119,0.3129,0.27842227,0.038370013,0.3129,5.169925,-0.18568182
variable 1,variable 135,0.3093,0.28504312,0.11269,0.30039,5.087463,0.15574622
variable 1,variable 120,0.30273,0.011576921,0.04839,0.30273,5.169925,0.539586
variable 1,variable 77,0.29942,0.17307894,0.04884,0.29942,5.169925,-0.35544488
variable 1,variable 52,0.29352,0.06045097,0.03983,0.29352,5.169925,0.48277223
variable 1,variable 78,0.2865,0.17254621,0.02824001,0.2865,5.169925,-0.33757043
variable 1,variable 136,0.2856,0.28114444,0.033419997,0.27341,5.087463,-0.06674998
variable 1,variable 60,0.28522,0.20279536,0.020510003,0.28522,5.169925,0.28709692
variable 1,variable 9,0.27417,0.23886234,0.045190006,0.27417,5.087463,-0.18790337
variable 1,variable 54,0.27125,-0.010012358,0.018830001,0.27125,5.169925,0.53034174
variable 1,variable 131,0.27121,0.19167826,0.035170004,0.27121,4.5849624,0.28201374
variable 1,variable 5,0.26923,0.2351084,0.026460007,0.26923,5.087463,-0.18472034
variable 1,variable 3,0.26821,0.21199751,0.041569993,0.26821,5.087463,-0.23709174
variable 1,variable 132,0.26742,0.21565942,0.027929991,0.26742,4.5849624,0.2275095
variable 1,variable 80,0.26715,0.20571573,0.056650013,0.26715,5.169925,-0.2478594
variable 1,variable 83,0.2662,0.22169541,0.044979997,0.2662,5.169925,0.21096112
variable 1,variable 43,0.26381,0.18229187,0.02762001,0.2552,5.169925,0.28551382
